Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %
22,2048,1,1,512,0.131109,0.187761, N/A,0.00861971,0.00960023,1.07523,0.0224529,2,2,1,2,1,1,11.1923,2,2,1,1,2,1,51.2441
22,4096,1,1,512,0.145841,0.196333, N/A,0.00898139,0.010972,1.8782,0.0272564,2,2,1,2,1,1,19.8543,2,2,2,1,4,1,47.5588
22,8192,1,1,512,0.162828,0.210555, N/A,0.00956589,0.0137401,3.44493,0.0332766,2,2,1,2,1,1,32.4343,2,2,2,1,4,1,57.9919
22,16384,1,1,512,0.202938,0.239181, N/A,0.010825,0.0191224,6.53157,0.0506304,2,2,1,2,1,1,47.5426,2,2,4,1,8,1,60.0684
22,32768,1,1,512,0.286656,0.300229, N/A,0.0131623,0.0300162,12.6996,0.0770778,2,2,1,2,1,1,62.0393,2,2,4,1,8,1,68.3237
22,65536,1,1,512,0.416494,0.650556, N/A,0.0256106,0.0377877,23.5874,0.147351,2,2,2,4,1,1,64.504,2,2,8,1,16,1,69.9331
22,131072,1,1,512,0.558629,0.650556, N/A,0.039128,0.0516992,47.0294,0.354186,2,4,2,4,1,1,51.3008,2,4,8,8,2,1,67.162
22,262144,1,1,512,0.84245,0.783857, N/A,0.0581142,0.0825466,92.1771,0.684693,2,4,2,4,1,1,60.6111,2,4,16,1,16,2,70.1927
22,524288,1,1,512,1.13793,0.783857, N/A,0.0949035,0.119668,184.121,1.16562,4,4,4,4,1,1,62.2246,2,8,16,1,32,1,68.822
22,1048576,1,1,512,1.52684,0.783857, N/A,0.146322,0.17167,367.43,2.44582,4,8,4,4,1,1,58.1197,2,16,16,1,16,2,67.1467
22,2097152,1,1,512,2.03502,0.783857, N/A,0.216729,0.241914,733.044,4.60905,8,8,8,4,1,1,62.0093,4,8,32,1,32,1,76.0081
22,4194304,1,1,512,2.84601,2.11621, N/A,0.30569,0.315548,1414.13,8.73631,4,16,8,8,1,1,65.2168,4,32,32,1,32,1,68.124
22,8388608,1,1,512,3.83542,2.11621, N/A,0.440758,0.452391,2834.81,17.0372,8,16,16,8,1,1,67.6432,16,16,64,16,1,1,70.187
22,16777216,1,1,512,5.29795,1.09203, N/A,0.604146,0.659736,5827.99,31.1625,16,16,16,4,1,1,73.3493,16,32,64,1,16,1,70.1124
22,33554432,1,1,512,7.1106,2.42809, N/A,0.868573,0.891748,11228.2,58.6057,16,16,32,8,1,1,78.3118,32,32,128,1,16,1,69.1265
22,67108864,1,1,512,9.89486,2.42809, N/A,1.26552,1.30894,22379.4,110.387,16,32,32,16,1,1,82.1753,32,128,128,1,16,1,66.0593
