Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %
22,128,1,2,512,0.298245,0.615969,0.0170414,0.0183235,0.0183015,2.49251,0.0521287,1,2,1,1,1,1,1.0593, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,256,1,4,512,0.298245,0.615969,0.017195,0.0183235,0.0183015,4.98131,0.0559897,1,4,1,1,1,1,1.97251, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,512,1,8,512,0.301904,0.620164,0.0172893,0.0183383,0.0184469,5.08637,0.0567099,1,4,1,1,1,1,2.92119, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,1024,1,16,512,0.308315,0.627222,0.0174748,0.0183673,0.0187371,5.28827,0.0579679,1,4,1,1,1,1,4.76299, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,2048,1,32,512,0.319029,0.639245,0.017847,0.0184262,0.0193184,5.69472,0.0605358,1,4,1,1,1,1,8.20971, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,4096,1,64,512,0.336275,0.653869,0.0185716,0.018553,0.0204898,6.58853,0.0662776,1,4,1,1,1,1,14.1638, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,8192,1,128,512,0.357809,0.670076,0.0204103,0.0187837,0.0228097,8.4098,0.0760647,1,4,1,1,1,1,23.9568, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,16384,1,256,512,0.434373,0.738923,0.0235132,0.0192694,0.027474,11.8833,0.095513,1,4,1,1,1,1,37.5793, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,32768,1,512,512,0.652525,0.958708,0.0291284,0.020192,0.0367536,18.6742,0.134306,1,4,1,1,1,1,53.0387, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,65536,1,1024,512,0.806003,0.958708,0.0685715,0.0366554,0.053217,40.2426,0.395806,1,8,1,1,1,1,35.9944, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,131072,1,2048,512,1.369,1.54164,0.105752,0.0472947,0.0805705,68.4061,0.608303,1,8,1,1,1,1,46.6596, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,262144,1,4096,512,1.44364,0.958708,0.336265,0.122933,0.139494,173.423,1.69279,1,32,1,1,1,1,33.6646, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,524288,1,8192,512,2.11526,1.54164,0.488231,0.151402,0.184677,289.165,2.54336,1,32,1,1,1,1,44.6388, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,1048576,1,16384,512,2.38639,0.958708,0.937748,0.266877,0.283439,621.296,5.79777,1,128,1,1,1,1,39.3166, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,2097152,1,32768,512,3.13963,1.54164,1.35907,0.309103,0.342379,1042.94,8.58928,1,128,1,1,1,1,52.8718, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,4194304,1,65536,512,4.95366,3.29875,2.20213,0.39324,0.459944,1886.14,14.193,1,128,1,1,1,1,63.8692, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,8388608,1,131072,512,5.67742,1.54164,4.41005,0.707212,0.740488,4109.13,34.5684,1,512,1,1,1,1,52.5487, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,16777216,1,262144,512,8.0507,3.29875,7.40059,0.884432,0.951136,7466.12,56.8709,1,512,1,1,1,1,63.758, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,33554432,1,524288,512,13.993,9.14389,13.3838,1.23899,1.37255,14177.3,101.937,1,512,1,1,1,1,71.0721, N/A, N/A, N/A, N/A, N/A, N/A, N/A
22,67108864,1,1048576,512,30.6177,30.134,25.35,1.94846,2.21573,27599.7,193.652,1,512,1,1,1,1,74.7871, N/A, N/A, N/A, N/A, N/A, N/A, N/A
